participant_id,scenario,condition,q1,q2,q3,clarity,trust,actionability,notes
P01,s01,baseline,1,1,0,3,3,3,synthetic_demo
P01,s02,baseline,1,1,1,3,3,3,synthetic_demo
P01,s03,baseline,1,0,1,3,4,4,synthetic_demo
P01,s04,baseline,1,0,1,3,3,2,synthetic_demo
P01,s05,xshield,1,1,1,4,3,3,synthetic_demo
P01,s06,xshield,1,1,1,3,4,4,synthetic_demo
P01,s07,xshield,1,1,1,3,3,3,synthetic_demo
P01,s08,xshield,1,1,1,5,3,4,synthetic_demo
P02,s01,xshield,1,1,0,4,4,4,synthetic_demo
P02,s02,xshield,1,1,1,3,4,3,synthetic_demo
P02,s03,xshield,0,1,1,3,3,3,synthetic_demo
P02,s04,xshield,0,1,1,4,5,4,synthetic_demo
P02,s05,baseline,0,0,0,3,3,3,synthetic_demo
P02,s06,baseline,1,1,1,3,4,3,synthetic_demo
P02,s07,baseline,1,1,1,3,3,2,synthetic_demo
P02,s08,baseline,0,0,0,3,3,3,synthetic_demo
P03,s01,baseline,1,0,0,3,3,3,synthetic_demo
P03,s02,baseline,1,0,1,3,3,3,synthetic_demo
P03,s03,baseline,1,0,0,3,2,2,synthetic_demo
P03,s04,baseline,1,0,0,2,4,2,synthetic_demo
P03,s05,xshield,1,1,1,4,4,4,synthetic_demo
P03,s06,xshield,1,1,1,4,4,4,synthetic_demo
P03,s07,xshield,1,1,1,4,3,4,synthetic_demo
P03,s08,xshield,1,1,1,4,5,2,synthetic_demo
P04,s01,xshield,1,1,1,4,4,4,synthetic_demo
P04,s02,xshield,1,1,0,5,3,4,synthetic_demo
P04,s03,xshield,1,1,1,5,4,4,synthetic_demo
P04,s04,xshield,1,1,0,3,3,4,synthetic_demo
P04,s05,baseline,1,1,0,4,3,3,synthetic_demo
P04,s06,baseline,0,1,1,2,3,3,synthetic_demo
P04,s07,baseline,1,1,1,2,1,1,synthetic_demo
P04,s08,baseline,0,0,1,3,3,3,synthetic_demo
P05,s01,baseline,1,1,0,4,2,2,synthetic_demo
P05,s02,baseline,0,1,0,3,4,2,synthetic_demo
P05,s03,baseline,0,1,1,3,2,3,synthetic_demo
P05,s04,baseline,1,1,0,1,3,2,synthetic_demo
P05,s05,xshield,1,1,0,4,3,5,synthetic_demo
P05,s06,xshield,1,1,1,2,4,4,synthetic_demo
P05,s07,xshield,0,1,1,4,4,5,synthetic_demo
P05,s08,xshield,1,1,1,3,4,5,synthetic_demo
P06,s01,xshield,1,1,1,4,3,3,synthetic_demo
P06,s02,xshield,0,1,0,4,3,4,synthetic_demo
P06,s03,xshield,1,1,1,4,4,4,synthetic_demo
P06,s04,xshield,1,1,1,3,3,4,synthetic_demo
P06,s05,baseline,0,0,1,2,3,3,synthetic_demo
P06,s06,baseline,1,0,0,4,3,2,synthetic_demo
P06,s07,baseline,0,1,1,3,2,2,synthetic_demo
P06,s08,baseline,0,0,0,3,3,3,synthetic_demo
P07,s01,baseline,0,0,0,3,3,3,synthetic_demo
P07,s02,baseline,1,1,0,3,3,2,synthetic_demo
P07,s03,baseline,1,0,0,4,4,3,synthetic_demo
P07,s04,baseline,0,1,1,3,4,3,synthetic_demo
P07,s05,xshield,1,1,1,4,4,3,synthetic_demo
P07,s06,xshield,1,1,1,5,4,4,synthetic_demo
P07,s07,xshield,1,1,1,5,4,4,synthetic_demo
P07,s08,xshield,1,1,0,4,4,4,synthetic_demo
P08,s01,xshield,1,0,0,4,4,4,synthetic_demo
P08,s02,xshield,1,1,1,3,4,3,synthetic_demo
P08,s03,xshield,1,0,1,4,4,4,synthetic_demo
P08,s04,xshield,0,1,1,4,3,3,synthetic_demo
P08,s05,baseline,1,1,1,3,3,3,synthetic_demo
P08,s06,baseline,1,1,1,3,3,2,synthetic_demo
P08,s07,baseline,1,1,1,3,3,4,synthetic_demo
P08,s08,baseline,0,1,1,3,3,3,synthetic_demo
